BYTE01;30;43
BYTE01;43;30
BYTE01;33;40
BYTE01;D7;A4
BYTE01;D6;A5
BYTE01;D5;A6
BYTE01;AD;DE
BYTE01;17;64
BYTE01;D3;A0
BYTE01;73;00
BYTE01;EF;9C
BYTE01;D9;AA
BYTE01;0B;78
BYTE01;D1;A2
BYTE01;18;6B
BYTE01;DC;AF
BYTE01;4E;3D
BYTE01;88;FB
BYTE01;16;65
BYTE01;34;47
BYTE01;72;01
BYTE01;70;03
BYTE01;65;16
BYTE01;3E;4D
BYTE01;7A;09
BYTE01;52;21
BYTE01;35;46
BYTE01;1A;69
BYTE01;28;5B
BYTE01;01;72
BYTE01;49;3A
BYTE01;4F;3C
BYTE01;9C;EF
BYTE01;71;02
BYTE01;50;23
BYTE01;4C;3F
BYTE01;26;55
BYTE01;48;3B
BYTE01;25;56
BYTE01;37;44
BYTE01;56;25
BYTE01;F5;86
BYTE01;E9;9A
BYTE01;8A;F9
BYTE01;7D;0E
BYTE01;38;4B
BYTE01;6D;1E
BYTE01;78;0B
BYTE01;69;1A
BYTE01;36;45
BYTE01;54;27
BYTE01;D4;A7
BYTE01;A4;D7
BYTE01;53;20
BYTE01;31;42
BYTE01;7E;0D
BYTE01;77;04
BYTE01;63;10
BYTE01;62;11
BYTE02;5E;3A
BYTE02;44;20
BYTE02;21;45
BYTE02;57;33
BYTE02;72;16
BYTE02;0D;69
BYTE02;64;00
BYTE02;F8;9C
BYTE02;09;6D
BYTE02;3B;5F
BYTE02;71;15
BYTE02;1D;79
BYTE02;3E;5A
BYTE02;25;41
BYTE02;02;66
BYTE02;01;65
BYTE02;37;53
BYTE02;0A;6E
BYTE02;14;70
BYTE02;26;42
BYTE02;2F;4B
BYTE02;2D;49
BYTE02;5B;3F
BYTE02;DF;BB
BYTE02;28;4C
BYTE02;47;23
BYTE02;34;50
BYTE02;22;46
BYTE02;11;75
BYTE02;30;54
BYTE02;C3;A7
BYTE02;20;44
BYTE02;0B;6F
BYTE02;05;61
BYTE02;29;4D
BYTE02;1C;78
BYTE02;73;17
BYTE03;39;5C
BYTE03;23;46
BYTE03;26;43
BYTE03;C3;A6
BYTE03;CB;AE
BYTE03;C5;A0
BYTE03;00;65
BYTE03;E3;86
BYTE03;43;26
BYTE03;ED;88
BYTE03;83;E6
BYTE03;0B;6E
BYTE03;65;00
BYTE03;C7;A2
BYTE03;70;15
BYTE03;E5;80
BYTE03;B0;D5
BYTE03;CC;A9
BYTE03;45;20
BYTE03;13;76
BYTE03;C0;A5
BYTE03;5A;3F
BYTE03;21;44
BYTE03;F5;90
BYTE03;19;7C
BYTE03;2C;49
BYTE03;06;63
BYTE03;04;61
BYTE03;2A;4F
BYTE03;08;6D
BYTE03;1D;78
BYTE03;DA;BF
BYTE03;0C;69
BYTE03;68;0D
BYTE03;24;41
BYTE03;35;50
BYTE03;66;03
BYTE03;27;42
BYTE03;15;70
BYTE03;AA;CF
BYTE03;11;74
BYTE03;29;4C
BYTE03;0A;6F
BYTE03;55;30
BYTE03;17;72
BYTE03;0E;6B
BYTE03;20;45
BYTE03;37;52
BYTE04;24;41
BYTE04;0C;69
BYTE04;2D;48
BYTE04;65;00
BYTE04;F7;92
BYTE04;1C;79
BYTE04;CE;AB
BYTE04;33;56
BYTE04;10;75
BYTE04;45;20
BYTE04;64;01
BYTE04;00;65
BYTE04;29;4C
BYTE04;0B;6E
BYTE04;0D;68
BYTE04;16;73
BYTE04;04;61
BYTE04;08;6D
BYTE04;0F;6A
BYTE04;36;53
BYTE04;37;52
BYTE04;03;66
BYTE04;59;3C
BYTE04;0E;6B
BYTE04;6F;0A
BYTE04;07;62
BYTE04;26;43
BYTE04;09;6C
BYTE04;2B;4E
BYTE04;23;46
BYTE04;2C;49
BYTE04;57;32
BYTE04;11;74
BYTE04;15;70
BYTE04;28;4D
BYTE04;2A;4F
BYTE04;17;72
BYTE04;3A;5F
BYTE04;FE;9B
BYTE05;3A;50
BYTE05;06;6C
BYTE05;25;4F
BYTE05;8B;E1
BYTE05;89;E3
BYTE05;88;E2
BYTE05;8C;E6
BYTE05;6B;01
BYTE05;8A;E0
BYTE05;8E;E4
BYTE05;8F;E5
BYTE05;6A;00
BYTE05;8D;E7
BYTE05;04;6E
BYTE05;80;EA
BYTE05;1A;70
BYTE05;69;03
BYTE05;EB;81
BYTE05;87;ED
BYTE05;5B;31
BYTE05;52;45
BYTE05;23;49
BYTE05;0E;64
BYTE05;BF;C3
BYTE05;24;53
BYTE05;3F;4E
BYTE05;BC;CE
BYTE05;E0;89
BYTE05;6D;07
BYTE05;5F;34
BYTE05;D0;B9
BYTE05;51;3B
BYTE05;5E;34
BYTE05;81;EC
BYTE05;68;02
BYTE05;6F;05
BYTE05;78;12
BYTE05;CF;A5
BYTE05;59;33
BYTE05;6C;06
BYTE05;73;19
BYTE05;63;09
BYTE05;50;3A
BYTE05;A1;CB
BYTE05;AF;C4
BYTE05;0C;66
BYTE05;00;69
BYTE05;C9;A3
BYTE05;61;0B
BYTE05;77;1D
BYTE05;13;79
BYTE05;CA;A0
BYTE05;A8;C1
BYTE05;03;66
BYTE05;75;1F
BYTE05;72;18
BYTE05;42;28
BYTE05;21;4B
BYTE05;E7;8D
BYTE05;2B;41
BYTE05;5A;30
BYTE05;AD;C7
BYTE05;4A;20
BYTE05;1E;74
BYTE05;17;7D
BYTE05;05;6F
BYTE05;01;6B
BYTE05;1F;75
BYTE05;35;5F
BYTE05;09;63
BYTE05;0F;65
BYTE05;55;3F
BYTE05;27;4D
BYTE05;62;08
BYTE05;9C;F6
BYTE05;79;10
BYTE05;7A;13
BYTE05;54;3D
BYTE05;57;3E
BYTE05;F0;99
BYTE05;F3;9A
BYTE05;11;7B
BYTE05;92;F8
BYTE05;EE;84
BYTE05;F9;93
BYTE05;1C;76
BYTE05;12;78
BYTE05;43;2A
BYTE05;36;5D
BYTE05;37;5C
BYTE05;08;62
BYTE05;E9;82
BYTE05;58;33
BYTE05;AA;BE
BYTE05;C2;A8
BYTE05;65;0F
BYTE05;C6;AB
BYTE05;26;4C
BYTE05;AC;C6
BYTE05;67;0E
BYTE05;64;0D
BYTE05;7C;16
BYTE05;4C;26
BYTE05;32;58
BYTE05;7E;14
BYTE05;4B;21
BYTE05;49;23
BYTE05;2F;45
BYTE05;2D;47
BYTE05;60;0A
BYTE05;6E;04
BYTE05;96;12
BYTE05;EA;80
BYTE05;B4;DE
BYTE05;4E;24
BYTE05;29;44
BYTE05;CD;A8
BYTE05;31;5B
BYTE05;4F;26
BYTE05;5D;37
BYTE05;20;49
BYTE05;28;42
BYTE05;95;FF
BYTE05;19;73
BYTE05;FF;95
BYTE05;FC;84
BYTE05;D6;BC
BYTE05;A4;CE
BYTE05;9E;F4
BYTE05;70;1A
BYTE05;D8;B2
BYTE05;7D;17
BYTE05;BE;D4
BYTE05;7F;15
BYTE05;EC;86
BYTE05;D5;BF
BYTE05;DD;B7
BYTE05;48;22
BYTE05;84;EE
BYTE05;40;2A
BYTE05;EF;85
BYTE05;FB;91
BYTE05;18;72
BYTE05;47;2D
BYTE05;F8;94
BYTE05;7B;11
BYTE05;41;28
BYTE05;F4;9E
BYTE05;45;2F
BYTE05;9A;D4
BYTE05;BB;ED
BYTE05;34;5D
BYTE05;71;1E
BYTE05;D7;BD
BYTE05;E5;8F
BYTE05;76;1C
BYTE05;2A;40
BYTE05;CE;A4
BYTE05;1D;77
BYTE05;46;2C
BYTE05;82;E8
BYTE05;02;66
BYTE05;F6;9C
BYTE05;A9;C8
BYTE05;DF;B5
BYTE05;44;2E
BYTE05;DA;B0
BYTE05;74;1E
BYTE05;93;F9
BYTE05;B5;DF
BYTE05;C8;A2
BYTE05;56;3C
BYTE05;2C;45
BYTE05;B9;D3
BYTE05;9B;15
BYTE05;A6;CB
BYTE05;CC;A6
BYTE05;4D;27
BYTE05;66;0C
BYTE05;AB;C1
BYTE05;16;7C
BYTE05;0B;61
BYTE05;39;53
BYTE05;E2;88
BYTE05;1B;71
BYTE05;DC;B6
BYTE05;85;EF
BYTE05;F7;9D
BYTE05;94;F9
BYTE05;FE;94
BYTE05;B1;DB
BYTE05;3E;54
BYTE05;2E;44
BYTE05;C5;AA
BYTE05;3D;57
BYTE05;E6;89
BYTE05;38;50
BYTE05;D2;B8
BYTE05;0A;60
BYTE05;F1;98
BYTE05;90;F1
BYTE05;C7;AD
BYTE05;9F;F5
BYTE05;53;39
BYTE05;B2;D8
BYTE05;15;7F
